,instrument,mae_min,mae_max,mae_mean,mae_var,mae_count,corr_min,corr_max,corr_mean,corr_var,corr_count,profit_min,profit_max,profit_mean,profit_var,profit_count
32,SZ300026,0.524724,0.5399665,0.5319327,3.2699958e-05,14,-0.2196598667781154,-0.15639690731859618,-0.19018780555218237,0.0004657704491130532,14,0.09090909086776859,0.2758620688703924,0.1866539855583837,0.0027131381869141247,14
33,SH688334,0.5227202,0.54318744,0.5324434,4.5169192e-05,14,-0.21861661898008658,0.04423466300751778,-0.11479121060273022,0.003972136584263458,14,0.5357142855229592,0.6764705880363322,0.6186786852151389,0.0017207480386614556,14
34,SZ301468,0.5289046,0.5374319,0.53267086,7.495126e-06,15,-0.18582076570087802,-0.0634466706717437,-0.1238980670972742,0.0013988747672735822,15,0.4999999998076923,0.6590909089411157,0.613889031914373,0.0014199635733692943,15
35,SZ300867,0.5241135,0.54579145,0.53401816,3.926145e-05,14,-0.16177786200625163,-0.03762688703926852,-0.10800234880799454,0.001053647358718373,14,0.37499999984375,0.6086956520415879,0.4913712318085384,0.005060761326406001,14
36,SZ301035,0.5328669,0.543677,0.5380064,9.988737e-06,14,-0.2679628311306502,-0.10971705269043805,-0.18596137119576459,0.0016971140815168406,14,0.3673469387005414,0.5510204080508122,0.47689562490110876,0.0028117857127336163,14
37,SZ301276,0.5342911,0.5475739,0.5394384,1.2644019e-05,18,-0.3025365319089987,-0.07328003404545146,-0.21835957198929706,0.00285564016371103,18,0.35483870956295527,0.5925925923731138,0.45670872079076,0.0036962159498079026,18
38,SH688029,0.53625137,0.5520816,0.5426788,2.1516034e-05,14,-0.08228950497019699,0.023462321712495036,-0.03350793106668333,0.0010536247198030236,14,0.379999999924,0.539999999892,0.4755467504200159,0.001992401126391286,14
39,SH688009,0.5363792,0.5526951,0.5440766,1.6071715e-05,16,-0.03724665758962495,0.02964885653518967,-0.010595781208767141,0.00034481949273127766,16,0.4999999998863636,0.6249999998697917,0.5567424640608405,0.001597779251621712,16
40,SH688563,0.53829765,0.5527142,0.54424375,1.6590404e-05,12,-0.12899256142411564,-0.0427114623478269,-0.09583493877137783,0.0007878551827962334,12,0.18421052626731302,0.459999999908,0.3719109731251729,0.0053017174442653,12
41,SH688469,0.53933656,0.5625797,0.54829526,3.4662247e-05,15,-0.1580203088734303,-0.07658762124622996,-0.11486411159342529,0.0006170265236417063,15,0.24999999993055555,0.36111111101080245,0.30972931130440357,0.0009829432915945502,15
42,SZ300193,0.5429995,0.55721503,0.549202,1.6275431e-05,15,-0.2399931296896016,-0.01570432035232775,-0.11807472341700098,0.0026520650428635624,15,0.5178571427646683,0.6097560974122546,0.568730709706441,0.0007631372939392799,15
43,SZ300463,0.5436142,0.55350304,0.5495049,1.1023429e-05,14,-0.12987959771971774,-0.02238563722789924,-0.09308296715782774,0.0012680989228636861,14,0.35897435888231427,0.48484848470156106,0.4208283565416854,0.0015327633189444606,14
44,SZ300185,0.5487753,0.56128615,0.5533277,1.31900615e-05,13,-0.18142481699857596,-0.020981546813852267,-0.09650789576872085,0.0017190288195517093,13,0.352941176366782,0.47727272716425617,0.4122351051074134,0.001579437808240813,13
45,SH688184,0.545915,0.5606796,0.55361,2.3009059e-05,14,-0.1816995210437788,-0.05255527256390696,-0.13338966727922574,0.0016133046462918344,14,0.46153846142011834,0.6666666664957265,0.5692834961776091,0.005477158259997085,14
46,SZ301105,0.5486391,0.5611027,0.55450183,1.7886638e-05,11,-0.14080548400601306,-0.07888223003766835,-0.1099309313791686,0.0003536407095435088,11,0.5172413792211653,0.6444444443012346,0.5817362451113023,0.00194198967682052,11
47,SZ301267,0.5476589,0.5625196,0.5558995,1.5225292e-05,13,-0.24529223701437772,-0.12048710262851235,-0.19518830563606865,0.0011010698587148376,13,0.27499999993125,0.3999999998857143,0.35289305742822363,0.0016840712231129462,13
48,SZ301108,0.5519686,0.56086785,0.5562146,6.448002e-06,12,-0.04150393067507318,0.07707581745544599,0.02767909013533086,0.0011349857763909676,12,0.44736842093490303,0.6666666664814814,0.5400641096164915,0.003362903994810507,12
49,SH688586,0.5490619,0.56463957,0.55658424,1.6764972e-05,15,-0.18409295464795175,-0.09933378786936442,-0.1453925037600144,0.0006211573861702365,15,0.279999999888,0.5185185183264746,0.44212999788439833,0.004132562563387366,15
50,SZ300003,0.5516176,0.5681055,0.55682147,1.5667354e-05,15,-0.19930062794766715,-0.12177685793256697,-0.15089513769521154,0.0006083660297029883,15,0.24999999994791666,0.40740740733196157,0.33232174659722313,0.0013893624010202358,15
51,SZ301263,0.5533958,0.5659324,0.5584682,1.1538137e-05,18,-0.10829791643259498,-0.034368884380332664,-0.08230523599240532,0.0004795557823442749,18,0.4390243901368233,0.5952380950963718,0.5234741381754497,0.0020687172243977667,18
52,SZ300676,0.55359906,0.56687,0.56028545,1.3126254e-05,14,-0.2831525328916271,-0.18993737073177933,-0.2372164375479764,0.0007588030712456764,14,0.28947368413434904,0.47499999988124997,0.3968909017120676,0.002881798840670074,14
53,SZ300993,0.55507976,0.5750862,0.5617334,2.919538e-05,17,-0.20884938912335596,0.05403409654780494,-0.08805222651492907,0.004404440112786714,17,0.37777777769382714,0.52499999986875,0.47210219182538404,0.0012946875788515746,17
54,SZ300408,0.5542058,0.5869585,0.5644973,6.5368586e-05,17,-0.25055562290385774,0.005484633774422126,-0.14511816480360865,0.004941320119824913,17,0.371428571322449,0.4999999998863636,0.44042381551281057,0.0012185951913677093,17
55,SZ300230,0.5592596,0.5701167,0.56495786,7.726376e-06,13,-0.14987685365423684,0.02564889021076737,-0.05089456015729459,0.0023657593287694993,13,0.41860465106544076,0.5428571427020408,0.48622949358016226,0.0014107990122156295,13
56,SZ300983,0.5559223,0.572296,0.56691647,2.4303554e-05,12,-0.19682973875510484,0.08381605053719333,-0.07212601203138834,0.004888174374490562,12,0.27272727266528923,0.4324324323155588,0.3453966625117486,0.0017883750372351707,12
57,SZ301196,0.5602444,0.5731561,0.56694937,8.527385e-06,21,-0.10455555949889166,0.049109443081820726,-0.05113961073194526,0.0013415611794300013,21,0.4166666665798611,0.5686274508688965,0.4844114989975483,0.0012715226166434691,21
58,SZ300815,0.5648558,0.5706022,0.56822395,4.5863103e-06,9,-0.22029012336779763,-0.134934820741374,-0.17995455042238687,0.000712595760762771,9,0.36170212758261655,0.4390243901368233,0.4046708502643783,0.0006901551686109765,9
59,SZ301367,0.56498283,0.578481,0.5698262,2.0565867e-05,19,-0.012349337572808962,0.057077316345831824,0.020533770376903425,0.00039483843837127055,19,0.23529411757785468,0.47499999988124997,0.3529845510728973,0.004488311543481328,19
60,SZ301290,0.5583932,0.5798938,0.57073087,3.7503767e-05,16,-0.2086318351708976,-0.11104782077436474,-0.17527565219041272,0.0005951675289876392,16,0.4999999998611111,0.6206896549583829,0.5794412152540986,0.0010727773714358933,16
61,SZ300332,0.5689932,0.5802658,0.5720696,1.1924538e-05,12,-0.07576275930745423,-0.0014098254142665319,-0.03330949674702001,0.0003920707571832532,12,0.3437499998925781,0.4571428570122449,0.3911217748082478,0.0017279520069609295,12
62,SH688057,0.5597344,0.580879,0.5721498,3.1202664e-05,14,-0.3813347012821391,-0.2557617678851797,-0.3087581647064929,0.0014010381942421847,14,0.3214285713711735,0.47727272716425617,0.4085963497408773,0.002008381140840673,14
63,SH688468,0.56741357,0.57870626,0.57306707,1.3719648e-05,12,-0.06841740441354074,0.001373895095318786,-0.02667188648215695,0.0004997161118208834,12,0.47619047607709747,0.6610169490405056,0.5891686221530268,0.002637670279314811,12
64,SH688399,0.56234634,0.58036786,0.5732321,2.911475e-05,10,-0.1807656757274659,-0.04211388894076352,-0.11318533125151369,0.001527984051253429,10,0.36585365844735274,0.5357142855229592,0.4471120275036345,0.002657854436627352,10
65,SZ300335,0.5702667,0.5769355,0.5732978,3.7816312e-06,13,-0.13212783454740357,-0.06192832977277346,-0.09742617936222508,0.000510795720974275,13,0.30303030293847566,0.4999999998333333,0.41996555190956497,0.003625233501822634,13
66,SH688122,0.5670101,0.58692986,0.5735921,2.9184475e-05,13,-0.06366030458895376,0.09089016473754927,-0.005197822034003484,0.0022215731932490376,13,0.4358974357856673,0.5806451611030177,0.49887629631108543,0.0014998261720282552,13
67,SZ300834,0.5669137,0.5795293,0.57394487,9.722226e-06,19,-0.038324021767377044,0.05308823209202305,-0.002780523638302432,0.0005656677061133252,19,0.4354838708975026,0.5909090907747934,0.5012015645347716,0.0026996705369513522,19
68,SZ300482,0.57126015,0.58304924,0.57492125,1.2422664e-05,9,-0.2641903730134209,-0.16844970188974256,-0.22731120879487884,0.0010198986443495832,9,0.4285714284489796,0.5476190474886621,0.4999163165788999,0.0014052184810728406,9
69,SH688271,0.569633,0.58416444,0.57529616,1.3131369e-05,14,-0.18853888633867338,-0.03627441395388718,-0.1160316374325449,0.0021111130743777166,14,0.444444444345679,0.6486486484733381,0.5274076310371981,0.0033617930370369617,14
70,SZ300796,0.57114345,0.5791265,0.5753903,5.3493823e-06,12,-0.11120437041613568,0.020470938411457678,-0.044972832342006656,0.0017303547236237682,12,0.38709677406867843,0.5666666664777777,0.48209638018823014,0.0035106749943958696,12
71,SZ300194,0.5705276,0.58308303,0.57635903,1.2807432e-05,16,-0.16563863269351833,-0.11844977381615746,-0.14022184858775205,0.00019774987319756226,16,0.31034482747919145,0.42499999989375,0.3783539604385342,0.0012878850371750032,16
72,SZ300435,0.5727122,0.58455205,0.57729214,8.764336e-06,19,-0.12581904970205723,0.004839454968483121,-0.06935069644882529,0.0014203319669107328,19,0.3513513512563915,0.5476190474886621,0.43856810301088167,0.0025417878059898185,19
73,SZ300196,0.5741525,0.58211535,0.5783714,4.2484858e-06,14,-0.12972880737430184,0.0993094751757399,-0.01765821185031833,0.004287638791613042,14,0.33333333325925923,0.5909090907747934,0.43700465837051855,0.005349156341321779,14
74,SH688553,0.56907046,0.5891361,0.57946867,2.4809719e-05,16,-0.09060488341509751,0.015345316461614114,-0.03442565698130968,0.0005839988985702285,16,0.3793103447621879,0.6285714283918368,0.46927840670566734,0.004480016565680134,16
75,SZ300289,0.57272637,0.5930695,0.58048713,2.974246e-05,14,-0.08061129700069221,0.02805882561952751,-0.034910756105210335,0.0010901686889946015,14,0.5116279068577609,0.6333333331222222,0.5578816705782212,0.0014073580598843402,14
76,SZ300298,0.576259,0.5868033,0.5810585,9.668044e-06,14,-0.15777497645932323,-0.005818939392098458,-0.06618590600632958,0.0017867777690794167,14,0.3749999998828125,0.5454545452892562,0.4473870632794058,0.0018861662305163357,14
77,SZ300263,0.5770369,0.5928084,0.5830202,2.3345949e-05,13,-0.2055504846197487,-0.025948636328666827,-0.1207237883219007,0.0018744417056355503,13,0.3888888887808642,0.6071428569260204,0.502272995677541,0.003787920155149989,13
78,SZ301093,0.5764929,0.5877962,0.583398,1.0212294e-05,12,-0.10323408093777602,0.04160366268277842,-0.0370672589945867,0.0018197792226573861,12,0.34999999991249997,0.5333333332148148,0.4632316761036335,0.002146799180355893,12
79,SH688338,0.5795735,0.59131914,0.583612,1.1958673e-05,11,-0.004897189652136174,0.06759176920011357,0.022160535284886273,0.0005589500369806843,11,0.40540540529583635,0.5641025639579224,0.48658338256593203,0.002287825953737721,11
80,SH688576,0.578843,0.5918703,0.58578557,1.7249442e-05,11,-0.11377711815848168,-0.009230676386578564,-0.06889983568035103,0.0012589187760632102,11,0.3555555554765432,0.59999999985,0.4176652414561024,0.005077191781249683,11
81,SZ301039,0.5802183,0.5960117,0.5866266,2.366022e-05,11,-0.13181168692119571,-0.023255940552905367,-0.07784096667180308,0.001261956091914866,11,0.32432432423666907,0.42857142849489793,0.3815133002377024,0.0011557580144917275,11
82,SH688403,0.5823438,0.59347,0.58732575,9.333733e-06,16,-0.13223759894700735,-0.048783407478632114,-0.0898413118372712,0.0005165770249064966,16,0.239999999904,0.5999999997,0.4316442071796136,0.009034293804129005,16
83,SH688370,0.5801963,0.5926419,0.58755827,1.3072578e-05,13,-0.1963694985548931,-0.06009286194821129,-0.12364945428448852,0.001844269641015095,13,0.49056603764328943,0.5714285713265306,0.5332260068863466,0.0005774457524843207,13
84,SZ300855,0.5792606,0.5994882,0.58860415,2.4132238e-05,14,-0.09016057383825951,0.05109095079594953,-0.030003899289337443,0.0017655598798014668,14,0.23076923068047336,0.615384615147929,0.4034730565132586,0.01102712842063945,14
85,SH688128,0.5868332,0.59168893,0.5892465,2.7662652e-06,16,-0.21954298958070895,-0.018556229345279934,-0.10671899730768314,0.002419563094321353,16,0.4634146340333135,0.559999999888,0.5100949524059589,0.0006293279249599652,16
86,SH688151,0.5843659,0.60206884,0.5893132,2.0964724e-05,14,-0.16825782735601572,-0.007012036549776878,-0.08013961158785986,0.002616510354143136,14,0.47222222209104936,0.67499999983125,0.589015126606342,0.0036930453752603426,14
87,SH688779,0.5812949,0.6002913,0.58937776,2.4042745e-05,17,-0.3047361372800536,-0.05913136337925186,-0.1604554827344978,0.0034819277958135133,17,0.29032258055150884,0.5151515149954086,0.41441086431918706,0.004491950770580173,17
88,SZ300357,0.5857046,0.5945755,0.58990574,5.8678643e-06,12,-0.14516265862156832,-0.05218724588293031,-0.11475007538588881,0.0008583841635106186,12,0.34482758608799047,0.5652173910586011,0.43411195351931714,0.003657257982927887,12
89,SZ301498,0.58624256,0.59747744,0.59038794,7.892246e-06,17,0.008055880948045685,0.11002436401214478,0.06633943017474962,0.0006346143914009296,17,0.38095238077097504,0.5384615382544379,0.468472819811717,0.0023350332927101875,17
90,SZ300770,0.5783045,0.60082865,0.59042364,3.064615e-05,22,-0.33025409246331944,-0.07333989864286065,-0.1966055332100364,0.003442163614302796,22,0.29729729721694664,0.4523809522732426,0.37154223152664795,0.0014512838406792715,22
91,SZ300055,0.58718586,0.5949515,0.5919672,5.758906e-06,11,-0.24964859437928952,-0.11157182129671836,-0.2002751316295976,0.0015910913721699348,11,0.4102564101512163,0.4999999998863636,0.4613296587307792,0.0008476150393684736,11
92,SZ300625,0.58818156,0.60278684,0.5921137,1.7319291e-05,14,-0.10139371456850449,-0.026319579410187158,-0.07545941284116166,0.0004863232759703969,14,0.36111111101080245,0.4680851062833861,0.4335137346420314,0.0008486763549185249,14
93,SH688819,0.5848988,0.6016674,0.592306,2.177027e-05,14,-0.09513920920239552,0.0036737496145918696,-0.05314440033466034,0.0008331069398355098,14,0.48979591826738855,0.679999999864,0.555489806207151,0.0035620689987108352,14
94,SZ300888,0.5853366,0.59894496,0.5926896,1.2679178e-05,19,-0.24742414793970474,-0.0949914706372315,-0.1793112454754639,0.0016333035329863656,19,0.3863636362758264,0.5714285713119533,0.44976915372940046,0.0022471263629515997,19
95,SZ301234,0.5888036,0.60223466,0.59338295,1.3392614e-05,10,0.04571831644726581,0.11533326783386057,0.07107136026468189,0.0005736330383456512,10,0.4411764704584775,0.642857142627551,0.5496983894285008,0.003951033049913926,10
96,SZ300633,0.5882239,0.604426,0.5934477,1.8194298e-05,20,-0.27009591655491016,-0.18461862823951486,-0.22611164069472603,0.0006207890981294259,20,0.31034482747919145,0.4999999998529412,0.4058599925927827,0.003848917569831308,20
97,SZ300861,0.5843798,0.6035194,0.5937554,2.1529851e-05,14,-0.21105622948916125,-0.10554233201126614,-0.17485827872218063,0.0007949242056373222,14,0.42222222212839505,0.5833333331712963,0.49433897282957984,0.0026576955811661624,14
98,SH688389,0.5916741,0.59905374,0.5947127,6.147451e-06,16,-0.05126492947372495,0.10736971027324353,0.01701231980988873,0.002053025692791782,16,0.39473684200138504,0.59999999985,0.5048344927739492,0.0033962557655627034,16
99,SZ301223,0.588675,0.6008347,0.5951186,1.5154261e-05,14,-0.16111535835530652,-0.02627959413558489,-0.08634077382594171,0.0017585913181495305,14,0.3783783782761139,0.6190476187528344,0.4718558628543544,0.004061554032973905,14
100,SZ300034,0.59098256,0.60306275,0.5952079,1.5174711e-05,20,-0.1033636135954796,-0.025913960405433666,-0.06879438420889132,0.0006820061331700953,20,0.3999999998,0.6538461535946746,0.5085664505187631,0.0041915058539387815,20
101,SZ300804,0.5901704,0.59926456,0.5952455,8.003403e-06,13,-0.09476966987724007,-0.0010530468958946575,-0.05089260492883769,0.0012724373959102254,13,0.352941176366782,0.5833333330902778,0.46830744731536217,0.004534941789011658,13
102,SH688231,0.5899419,0.60325253,0.5959344,1.5310452e-05,16,-0.12947440335135021,-0.010634821715175168,-0.06135502307109932,0.0013299234771203747,16,0.352941176366782,0.5185185183264746,0.4487957285548646,0.0019101229821373753,16
103,SZ300142,0.5918067,0.60208964,0.5959417,7.750638e-06,17,-0.1717878524045357,-0.07597902325745004,-0.13037995050217588,0.0007690463145163081,17,0.3863636362758264,0.5789473681163435,0.47262365098733977,0.0026723010363045984,17
104,SZ300132,0.5827308,0.6072943,0.5968748,3.795455e-05,14,-0.14302438560140393,-0.09128684997865354,-0.12162514835835578,0.00023691056184065915,14,0.4285714284183673,0.6129032256087409,0.534470959333983,0.002546124901756863,14
105,SZ300015,0.58537763,0.61469877,0.5968786,8.0405225e-05,10,-0.2708818532621054,-0.09803664190616558,-0.1995493829115234,0.0027876659723465504,10,0.14285714280612244,0.2678571428093112,0.2007277782400727,0.0013784886626449291,10
106,SH688289,0.59020984,0.60878974,0.5975407,2.650936e-05,13,-0.07317540186637785,-0.009949614118341443,-0.03947179168909477,0.00028203180812736345,13,0.38709677406867843,0.568181818052686,0.47458864241070076,0.0020294053039015864,13
107,SZ300658,0.59128827,0.61066294,0.59905565,3.2731743e-05,18,-0.22800185731838343,-0.07084272528085361,-0.12101697313760718,0.0014829520215448896,18,0.3636363635261708,0.5333333331555555,0.45976178711195015,0.0022816527682947654,18
108,SZ300285,0.59237474,0.6108261,0.60044813,2.0303574e-05,14,-0.20836341971851227,-0.12909119702103078,-0.168116799458668,0.0006058313111642246,14,0.3414634145508626,0.4444444443621399,0.4021458291421593,0.0010597219370682637,14
109,SZ300037,0.59553486,0.60891914,0.60283816,1.7177184e-05,12,-0.24079333344908063,-0.19937721649641046,-0.2253691330451468,0.00026067485565669065,12,0.09999999995,0.47619047596371883,0.3178219451058359,0.008844713457874272,12
